Year,Datetime,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Attendance,Half-time Home Goals,Half-time Away Goals,Referee,Assistant 1,Assistant 2,RoundID,MatchID,Home Team Initials,Away Team Initials,match_result,home_rank,away_rank,rank_diff,Unnamed: 0,group,rank,team,matches_played,wins,draws,losses,goals_scored,goals_against,goal_difference,points,expected_goal_scored,exp_goal_conceded,exp_goal_difference,exp_goal_difference_per_90,Unnamed: 0_away,group_away,rank_away,team_away,matches_played_away,wins_away,draws_away,losses_away,goals_scored_away,goals_against_away,goal_difference_away,points_away,expected_goal_scored_away,exp_goal_conceded_away,exp_goal_difference_away,exp_goal_difference_per_90_away,xg_diff,goals_scored_diff,goal_difference_diff,wins_diff,exp_goal_conceded_diff,Unnamed: 0_home,group_home,rank_home,team_home,matches_played_home,wins_home,draws_home,losses_home,goals_scored_home,goals_against_home,goal_difference_home,points_home,expected_goal_scored_home,exp_goal_conceded_home,exp_goal_difference_home,exp_goal_difference_per_90_home
1994.0,1994-06-26 12:30:00,Group D,Soldier Field,Chicago ,Bulgaria,4.0,0.0,Greece, ,63160.0,1.0,0.0,BUJSAIM Ali (UAE),AL GHATTAN Yousif Abdulla (BAH),CALIX GARCIA Raimundo (HON),337.0,3072.0,BUL,GRE,Home Win,29.0,31.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994.0,1994-06-26 16:00:00,Group A,Rose Bowl,Los Angeles ,USA,0.0,1.0,Romania, ,93869.0,0.0,1.0,VAN DER ENDE Mario (NED),DOLSTRA Jan (NED),DUNSTER Gordon (AUS),337.0,3073.0,USA,ROU,Away Win,23.0,7.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994.0,1994-06-26 16:00:00,Group A,Stanford Stadium,San Francisco ,Switzerland,0.0,2.0,Colombia, ,83401.0,0.0,1.0,MIKKELSEN Peter (DEN),CHRISTENSEN Carl-Johan Meyer (DEN),JAMES Douglas Micael (TRI),337.0,3074.0,SUI,COL,Away Win,12.0,17.0,-5.0,25.0,7.0,2.0,Switzerland,3.0,2.0,0.0,1.0,4.0,3.0,1.0,6.0,4.4,3.1,1.4,0.45,,,,,,,,,,,,,,,,,,,,,,25.0,7.0,2.0,Switzerland,3.0,2.0,0.0,1.0,4.0,3.0,1.0,6.0,4.4,3.1,1.4,0.45
1994.0,1994-06-27 16:00:00,Group C,Cotton Bowl,Dallas ,Germany,3.0,2.0,Korea Republic, ,63998.0,3.0,0.0,QUINIOU Joel (FRA),IVANOV Valentin (RUS),HASSAN Abdel-Magid (EGY),337.0,3076.0,GER,KOR,Home Win,1.0,37.0,-36.0,18.0,5.0,3.0,Germany,3.0,1.0,1.0,1.0,6.0,5.0,1.0,4.0,10.1,3.4,6.7,2.22,29.0,8.0,2.0,Korea Republic,3.0,1.0,1.0,1.0,4.0,4.0,0.0,4.0,4.1,3.5,0.6,0.19,6.0,2.0,1.0,0.0,-0.10000000000000009,18.0,5.0,3.0,Germany,3.0,1.0,1.0,1.0,6.0,5.0,1.0,4.0,10.1,3.4,6.7,2.22
1994.0,1994-06-27 16:00:00,Group C,Soldier Field,Chicago ,Bolivia,1.0,3.0,Spain, ,63089.0,0.0,1.0,BADILLA Rodrigo (CRC),CALIX GARCIA Raimundo (HON),AL GHATTAN Yousif Abdulla (BAH),337.0,3075.0,BOL,ESP,Away Win,43.0,5.0,38.0,,,,,,,,,,,,,,,,,17.0,5.0,2.0,Spain,3.0,1.0,1.0,1.0,9.0,3.0,6.0,4.0,5.2,2.7,2.5,0.82,,,,,,,,,,,,,,,,,,,,,
1994.0,1994-06-28 12:30:00,Group E,Giants Stadium,New York/New Jersey ,"rn"">Republic of Ireland",0.0,0.0,Norway, ,72404.0,0.0,0.0,TORRES CADENA Jose Joaquin (COL),ALVES Paulo Jorge (BRA),PARK Hae-Yong (KOR),337.0,3077.0,IRL,NOR,Draw,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994.0,1994-06-28 16:00:00,Group B,Pontiac Silverdome,Detroit ,Brazil,1.0,1.0,Sweden, ,77217.0,0.0,1.0,PUHL Sandor (HUN),MARTON Sandor (HUN),MATTHYS Luc (BEL),337.0,3080.0,BRA,SWE,Draw,3.0,10.0,-7.0,24.0,7.0,1.0,Brazil,3.0,2.0,0.0,1.0,3.0,1.0,2.0,6.0,5.9,0.9,4.9,1.65,,,,,,,,,,,,,,,,,,,,,,24.0,7.0,1.0,Brazil,3.0,2.0,0.0,1.0,3.0,1.0,2.0,6.0,5.9,0.9,4.9,1.65
1994.0,1994-06-28 12:30:00,Group E,RFK Stadium,Washington Dc ,Italy,1.0,1.0,Mexico, ,52535.0,0.0,0.0,LAMOLINA Francisco Oscar (ARG),TAIBI Ernesto (ARG),BRAZZALE Eugene (AUS),337.0,3078.0,ITA,MEX,Draw,4.0,16.0,-12.0,,,,,,,,,,,,,,,,,10.0,3.0,3.0,Mexico,3.0,1.0,1.0,1.0,2.0,3.0,-1.0,4.0,3.3,2.4,0.9,0.3,,,,,,,,,,,,,,,,,,,,,
1994.0,1994-06-28 16:00:00,Group B,Stanford Stadium,San Francisco ,Russia,6.0,1.0,Cameroon, ,74914.0,3.0,0.0,AL SHARIF Jamal (SYR),DUNSTER Gordon (AUS),DOLSTRA Jan (NED),337.0,3079.0,RUS,CMR,Home Win,19.0,24.0,-5.0,,,,,,,,,,,,,,,,,26.0,7.0,3.0,Cameroon,3.0,1.0,1.0,1.0,4.0,4.0,0.0,4.0,3.4,5.8,-2.3,-0.78,,,,,,,,,,,,,,,,,,,,,
1994.0,1994-06-29 12:30:00,Group F,Citrus Bowl,Orlando ,Morocco,1.0,2.0,Netherlands, ,60578.0,0.0,1.0,TEJADA NORIEGA Alberto (PER),ZARATE Venancio (PAR),EVERSTIG Mikael (SWE),337.0,3081.0,MAR,NED,Away Win,28.0,2.0,26.0,20.0,6.0,1.0,Morocco,3.0,2.0,1.0,0.0,4.0,1.0,3.0,7.0,2.4,2.8,-0.5,-0.15,0.0,1.0,1.0,Netherlands,3.0,2.0,1.0,0.0,5.0,1.0,4.0,7.0,2.4,2.7,-0.3,-0.11,0.0,-1.0,-1.0,0.0,0.09999999999999964,20.0,6.0,1.0,Morocco,3.0,2.0,1.0,0.0,4.0,1.0,3.0,7.0,2.4,2.8,-0.5,-0.15
